Author;Regex;Quote
Marcus Aurelius;landscape;Confine yourself to the present. 
Marcus Aurelius;landscape;Each day provides its own gifts. 
Marcus Aurelius;landscape;The best answer to anger is silence. 
Marcus Aurelius;landscape;Misfortune nobly born is good fortune. 
Marcus Aurelius;landscape;Give yourself a gift, the present moment. 
Marcus Aurelius;landscape;You can commit injustice by doing nothing. 
Marcus Aurelius;landscape;The best revenge is not to be like your enemy. 
Marcus Aurelius;landscape;Be tolerant with others and strict with yourself. 
Marcus Aurelius;landscape;How trivial the things we want so passionately are. 
Marcus Aurelius;landscape;The soul becomes dyed with the colour of its thoughts 
Marcus Aurelius;landscape;Conceal a flaw, and the world will imagine the worst. 
Marcus Aurelius;landscape;Remember that very little is needed to make a happy life. 
Marcus Aurelius;landscape;I cannot escape death, but at least I can escape the fear of it. 
Marcus Aurelius;landscape;Life is neither good or evil, but only a place for good and evil. 
Marcus Aurelius;landscape;Waste no more time arguing about what a good man should be. Be one. 
Marcus Aurelius;landscape;If it is not right, do not do it, if it is not true, do not say it. 
Marcus Aurelius;landscape;The happiness of your life depends upon the quality of your thoughts. 
Marcus Aurelius;landscape;The more we value things outside our control, the less control we have. 
Marcus Aurelius;landscape;Have I been made for this, to lie under the blankets and keep myself warm? 
Marcus Aurelius;landscape;The only wealth which you will keep forever is the wealth you have given away. 
Marcus Aurelius;landscape;You could leave life right now. Let that determine what you do and say and think. 
Marcus Aurelius;landscape;How ridiculous and how strange to be surprised at anything which happens in life. 
Marcus Aurelius;landscape;Settle on the type of person you want to be and stick to it, whether alone or in company. 
Marcus Aurelius;landscape;Love the hand that fate deals you and play it as your own, for what could be more fitting? 
Marcus Aurelius;landscape;You have power over your mind - not outside events. Realize this, and you will find strength. 
Marcus Aurelius;landscape;Choose not to be harmed - and you won’t feel harmed. Don’t feel harmed – and you haven’t been. 
Marcus Aurelius;landscape;Consider at what price you sell your integrity, but please, for God’s sake, don’t sell it cheap. 
Marcus Aurelius;landscape;External things are not the problem. It’s your assessment of them. Which you can erase right now. 
Marcus Aurelius;landscape;It never ceases to amaze me: we all love ourselves more than other people, but care more about their opinion than our own. 
